category,file,function_or_class,start_line,end_line,purpose,importance,notes
TRAIN_ENTRY,Agent/train/mhqa_agent/rl/run_gen_bs_supervisor.sh,launcher,1,38,Launches gen_bs_supervisor.py,high,Supervisor is the user-facing RL entry
TRAIN_ENTRY,Agent/train/mhqa_agent/rl/gen_bs_supervisor.py,Supervisor,219,245,Restarts training with dynamic GEN_BS,high,Runtime gen batch size is not fixed
TRAIN_ENTRY,Agent/train/mhqa_agent/rl/train_dapo_mhqa_agent_wiki.sh,training command,115,185,Sets active RL/GRPO/reward/tool overrides,high,Uses n=8 and custom EM scorer
CONFIG,Agent/train/mhqa_agent/rl/train_dapo_mhqa_agent_wiki.sh,parameter block,34,80,Defines batch sizes context lengths N and tool config,high,TRAIN_BS=32 PPO_MINI_BS=32 N=8
CONFIG,verl/verl/trainer/config/ppo_trainer.yaml,reward_model/algorithm/trainer defaults,687,829,Defines reward model KL filter and advantage defaults,high,Script overrides adv_estimator and filter_groups
CONFIG,Agent/train/mhqa_agent/rl/gen_bs_supervisor.py,CLI arguments,441,443,Defines supervisor initial/min/max GEN_BS,medium,Initial 128 range 96-160
ROLLOUT,verl/verl/workers/rollout/sglang_rollout/sglang_rollout.py,_req_level_generate_sequences,1119,1140,Creates n requests per prompt and sorts completed requests,high,Validation forces n=1; training uses config.n
ROLLOUT,verl/verl/workers/rollout/sglang_rollout/sglang_rollout.py,_preprocess_prompt_to_async_rollout_requests,1273,1325,Expands each data index over rollout_offset,high,Creates batch_data_id and rollout_offset
ROLLOUT,verl/verl/workers/rollout/sglang_rollout/sglang_rollout.py,rollout DataProto construction,1142,1270,Builds tensors and tool metadata fields,high,Includes detailed_tool_metrics
GROUPING,verl/verl/trainer/ppo/ray_trainer.py,uid assignment and repeat/union,1734,1738,Aligns original metadata with repeated rollout rows,high,uid comes from original index
GROUPING,verl/verl/protocol.py,DataProto.repeat/concat/reorder,691,758,Preserves row alignment across tensor and non-tensor fields,high,interleave=True preserves group adjacency at this stage
